T,d,phase
2.651,3.286,Disordered
2.753,3.286,Disordered
2.855,3.286,Disordered
2.957,3.286,Disordered
3.059,3.286,Disordered
3.161,3.286,Disordered
3.263,3.286,Disordered
3.365,3.286,Disordered
3.467,3.286,Disordered
3.569,3.286,Disordered
3.671,3.286,Disordered
3.773,3.286,Disordered
3.876,3.286,Disordered
3.978,3.286,Disordered
4.08,3.286,Disordered
4.182,3.286,Disordered
4.284,3.286,Disordered
4.386,3.286,Disordered
4.488,3.286,Disordered
4.59,3.286,Disordered
4.692,3.286,Disordered
4.794,3.286,Disordered
4.896,3.286,Disordered
4.998,3.286,Disordered
5.1,3.286,Disordered
0.1,3.357,Critical
0.202,3.357,Critical
0.304,3.357,Critical
0.406,3.357,Critical
0.508,3.357,Critical
0.61,3.357,Critical
0.712,3.357,Critical
0.814,3.357,Critical
0.916,3.357,Critical
1.018,3.357,Critical
1.12,3.357,Critical
1.222,3.357,Critical
1.324,3.357,Critical
1.427,3.357,Critical
1.529,3.357,Critical
1.631,3.357,Critical
1.733,3.357,Critical
1.835,3.357,Critical
1.937,3.357,Critical
2.039,3.357,Disordered
2.141,3.357,Disordered
2.243,3.357,Disordered
2.345,3.357,Disordered
2.447,3.357,Disordered
2.549,3.357,Disordered
2.651,3.357,Disordered
2.753,3.357,Disordered
2.855,3.357,Disordered
2.957,3.357,Disordered
3.059,3.357,Disordered
3.161,3.357,Disordered
3.263,3.357,Disordered
3.365,3.357,Disordered
3.467,3.357,Disordered
3.569,3.357,Disordered
3.671,3.357,Disordered
3.773,3.357,Disordered
3.876,3.357,Disordered
3.978,3.357,Disordered
4.08,3.357,Disordered
4.182,3.357,Disordered
4.284,3.357,Disordered
4.386,3.357,Disordered
4.488,3.357,Disordered
4.59,3.357,Disordered
4.692,3.357,Disordered
4.794,3.357,Disordered
4.896,3.357,Disordered
4.998,3.357,Disordered
5.1,3.357,Disordered
0.1,3.429,Critical
0.202,3.429,Critical
0.304,3.429,Critical
0.406,3.429,Critical
0.508,3.429,Critical
0.61,3.429,Critical
0.712,3.429,Critical
0.814,3.429,Critical
0.916,3.429,Critical
1.018,3.429,Critical
1.12,3.429,Critical
1.222,3.429,Critical
1.324,3.429,Critical
1.427,3.429,Critical
1.529,3.429,Critical
1.631,3.429,Critical
1.733,3.429,Critical
1.835,3.429,Critical
1.937,3.429,Critical
2.039,3.429,Disordered
2.141,3.429,Disordered
2.243,3.429,Disordered
2.345,3.429,Disordered
2.447,3.429,Disordered
2.549,3.429,Disordered
2.651,3.429,Disordered
2.753,3.429,Disordered
2.855,3.429,Disordered
2.957,3.429,Disordered
3.059,3.429,Disordered
3.161,3.429,Disordered
3.263,3.429,Disordered
3.365,3.429,Disordered
3.467,3.429,Disordered
3.569,3.429,Disordered
3.671,3.429,Disordered
3.773,3.429,Disordered
3.876,3.429,Disordered
3.978,3.429,Disordered
4.08,3.429,Disordered
4.182,3.429,Disordered
4.284,3.429,Disordered
4.386,3.429,Disordered
4.488,3.429,Disordered
4.59,3.429,Disordered
4.692,3.429,Disordered
4.794,3.429,Disordered
4.896,3.429,Disordered
4.998,3.429,Disordered
5.1,3.429,Disordered
0.1,3.5,Critical
0.202,3.5,Critical
0.304,3.5,Critical
0.406,3.5,Critical
0.508,3.5,Critical
0.61,3.5,Critical
0.712,3.5,Critical
0.814,3.5,Critical
0.916,3.5,Critical
1.018,3.5,Critical
1.12,3.5,Critical
1.222,3.5,Critical
1.324,3.5,Critical
1.427,3.5,Critical
1.529,3.5,Critical
1.631,3.5,Critical
1.733,3.5,Critical
1.835,3.5,Critical
1.937,3.5,Critical
2.039,3.5,Disordered
2.141,3.5,Disordered
2.243,3.5,Disordered
2.345,3.5,Disordered
2.447,3.5,Disordered
2.549,3.5,Disordered
2.651,3.5,Disordered
2.753,3.5,Disordered
2.855,3.5,Disordered
2.957,3.5,Disordered
3.059,3.5,Disordered
3.161,3.5,Disordered
3.263,3.5,Disordered
3.365,3.5,Disordered
3.467,3.5,Disordered
3.569,3.5,Disordered
3.671,3.5,Disordered
3.773,3.5,Disordered
3.876,3.5,Disordered
3.978,3.5,Disordered
4.08,3.5,Disordered
4.182,3.5,Disordered
4.284,3.5,Disordered
4.386,3.5,Disordered
4.488,3.5,Disordered
4.59,3.5,Disordered
4.692,3.5,Disordered
4.794,3.5,Disordered
4.896,3.5,Disordered
4.998,3.5,Disordered
5.1,3.5,Disordered
0.1,3.571,Critical
0.202,3.571,Critical
0.304,3.571,Critical
0.406,3.571,Critical
0.508,3.571,Critical
0.61,3.571,Critical
0.712,3.571,Critical
0.814,3.571,Critical
0.916,3.571,Critical
1.018,3.571,Critical
1.12,3.571,Critical
1.222,3.571,Critical
1.324,3.571,Critical
1.427,3.571,Critical
1.529,3.571,Critical
1.631,3.571,Critical
1.733,3.571,Critical
1.835,3.571,Critical
1.937,3.571,Critical
2.039,3.571,Disordered
2.141,3.571,Disordered
2.243,3.571,Disordered
2.345,3.571,Disordered
2.447,3.571,Disordered
2.549,3.571,Disordered
2.651,3.571,Disordered
2.753,3.571,Disordered
2.855,3.571,Disordered
2.957,3.571,Disordered
3.059,3.571,Disordered
3.161,3.571,Disordered
3.263,3.571,Disordered
3.365,3.571,Disordered
3.467,3.571,Disordered
3.569,3.571,Disordered
3.671,3.571,Disordered
3.773,3.571,Disordered
3.876,3.571,Disordered
3.978,3.571,Disordered
4.08,3.571,Disordered
4.182,3.571,Disordered
4.284,3.571,Disordered
4.386,3.571,Disordered
4.488,3.571,Disordered
4.59,3.571,Disordered
4.692,3.571,Disordered
4.794,3.571,Disordered
4.896,3.571,Disordered
4.998,3.571,Disordered
5.1,3.571,Disordered
0.1,3.643,Critical
0.202,3.643,Critical
0.304,3.643,Critical
0.406,3.643,Critical
0.508,3.643,Critical
0.61,3.643,Critical
0.712,3.643,Critical
0.814,3.643,Critical
0.916,3.643,Critical
1.018,3.643,Critical
1.12,3.643,Critical
1.222,3.643,Critical
1.324,3.643,Critical
1.427,3.643,Critical
1.529,3.643,Critical
1.631,3.643,Critical
1.733,3.643,Critical
1.835,3.643,Critical
1.937,3.643,Critical
2.039,3.643,Disordered
2.141,3.643,Disordered
2.243,3.643,Disordered
2.345,3.643,Disordered
2.447,3.643,Disordered
2.549,3.643,Disordered
2.651,3.643,Disordered
2.753,3.643,Disordered
2.855,3.643,Disordered
2.957,3.643,Disordered
3.059,3.643,Disordered
3.161,3.643,Disordered
3.263,3.643,Disordered
3.365,3.643,Disordered
3.467,3.643,Disordered
3.569,3.643,Disordered
3.671,3.643,Disordered
3.773,3.643,Disordered
3.876,3.643,Disordered
3.978,3.643,Disordered
4.08,3.643,Disordered
4.182,3.643,Disordered
4.284,3.643,Disordered
4.386,3.643,Disordered
4.488,3.643,Disordered
4.59,3.643,Disordered
4.692,3.643,Disordered
4.794,3.643,Disordered
4.896,3.643,Disordered
4.998,3.643,Disordered
5.1,3.643,Disordered
0.1,3.714,Critical
0.202,3.714,Critical
0.304,3.714,Critical
0.406,3.714,Critical
0.508,3.714,Critical
0.61,3.714,Critical
0.712,3.714,Critical
0.814,3.714,Critical
0.916,3.714,Critical
1.018,3.714,Critical
1.12,3.714,Critical
1.222,3.714,Critical
1.324,3.714,Critical
1.427,3.714,Critical
1.529,3.714,Critical
1.631,3.714,Critical
1.733,3.714,Critical
1.835,3.714,Critical
1.937,3.714,Critical
2.039,3.714,Disordered
2.141,3.714,Disordered
2.243,3.714,Disordered
2.345,3.714,Disordered
2.447,3.714,Disordered
2.549,3.714,Disordered
2.651,3.714,Disordered
2.753,3.714,Disordered
2.855,3.714,Disordered
2.957,3.714,Disordered
3.059,3.714,Disordered
3.161,3.714,Disordered
3.263,3.714,Disordered
3.365,3.714,Disordered
3.467,3.714,Disordered
3.569,3.714,Disordered
3.671,3.714,Disordered
3.773,3.714,Disordered
3.876,3.714,Disordered
3.978,3.714,Disordered
4.08,3.714,Disordered
4.182,3.714,Disordered
4.284,3.714,Disordered
4.386,3.714,Disordered
4.488,3.714,Disordered
4.59,3.714,Disordered
4.692,3.714,Disordered
4.794,3.714,Disordered
4.896,3.714,Disordered
4.998,3.714,Disordered
5.1,3.714,Disordered
0.1,3.786,Critical
0.202,3.786,Critical
0.304,3.786,Critical
0.406,3.786,Critical
0.508,3.786,Critical
0.61,3.786,Critical
0.712,3.786,Critical
0.814,3.786,Critical
0.916,3.786,Critical
1.018,3.786,Critical
1.12,3.786,Critical
1.222,3.786,Critical
1.324,3.786,Critical
1.427,3.786,Critical
1.529,3.786,Critical
1.631,3.786,Critical
1.733,3.786,Critical
1.835,3.786,Critical
1.937,3.786,Critical
2.039,3.786,Disordered
2.141,3.786,Disordered
2.243,3.786,Disordered
2.345,3.786,Disordered
2.447,3.786,Disordered
2.549,3.786,Disordered
2.651,3.786,Disordered
2.753,3.786,Disordered
2.855,3.786,Disordered
2.957,3.786,Disordered
3.059,3.786,Disordered
3.161,3.786,Disordered
3.263,3.786,Disordered
3.365,3.786,Disordered
3.467,3.786,Disordered
3.569,3.786,Disordered
3.671,3.786,Disordered
3.773,3.786,Disordered
3.876,3.786,Disordered
3.978,3.786,Disordered
4.08,3.786,Disordered
4.182,3.786,Disordered
4.284,3.786,Disordered
4.386,3.786,Disordered
4.488,3.786,Disordered
4.59,3.786,Disordered
4.692,3.786,Disordered
4.794,3.786,Disordered
4.896,3.786,Disordered
4.998,3.786,Disordered
5.1,3.786,Disordered
0.1,3.857,Critical
0.202,3.857,Critical
0.304,3.857,Critical
0.406,3.857,Critical
0.508,3.857,Critical
0.61,3.857,Critical
0.712,3.857,Critical
0.814,3.857,Critical
0.916,3.857,Critical
1.018,3.857,Critical
1.12,3.857,Critical
1.222,3.857,Critical
1.324,3.857,Critical
1.427,3.857,Critical
1.529,3.857,Critical
1.631,3.857,Critical
1.733,3.857,Critical
1.835,3.857,Critical
1.937,3.857,Critical
2.039,3.857,Disordered
2.141,3.857,Disordered
2.243,3.857,Disordered
2.345,3.857,Disordered
2.447,3.857,Disordered
2.549,3.857,Disordered
2.651,3.857,Disordered
2.753,3.857,Disordered
2.855,3.857,Disordered
2.957,3.857,Disordered
3.059,3.857,Disordered
3.161,3.857,Disordered
3.263,3.857,Disordered
3.365,3.857,Disordered
3.467,3.857,Disordered
3.569,3.857,Disordered
3.671,3.857,Disordered
3.773,3.857,Disordered
3.876,3.857,Disordered
3.978,3.857,Disordered
4.08,3.857,Disordered
4.182,3.857,Disordered
4.284,3.857,Disordered
4.386,3.857,Disordered
4.488,3.857,Disordered
4.59,3.857,Disordered
4.692,3.857,Disordered
4.794,3.857,Disordered
4.896,3.857,Disordered
4.998,3.857,Disordered
5.1,3.857,Disordered
0.1,3.929,Critical
0.202,3.929,Critical
0.304,3.929,Critical
0.406,3.929,Critical
0.508,3.929,Critical
0.61,3.929,Critical
0.712,3.929,Critical
0.814,3.929,Critical
0.916,3.929,Critical
1.018,3.929,Critical
1.12,3.929,Critical
1.222,3.929,Critical
1.324,3.929,Critical
1.427,3.929,Critical
1.529,3.929,Critical
1.631,3.929,Critical
1.733,3.929,Critical
1.835,3.929,Critical
1.937,3.929,Critical
2.039,3.929,Disordered
2.141,3.929,Disordered
2.243,3.929,Disordered
2.345,3.929,Disordered
2.447,3.929,Disordered
2.549,3.929,Disordered
2.651,3.929,Disordered
2.753,3.929,Disordered
2.855,3.929,Disordered
2.957,3.929,Disordered
3.059,3.929,Disordered
3.161,3.929,Disordered
3.263,3.929,Disordered
3.365,3.929,Disordered
3.467,3.929,Disordered
3.569,3.929,Disordered
3.671,3.929,Disordered
3.773,3.929,Disordered
3.876,3.929,Disordered
3.978,3.929,Disordered
4.08,3.929,Disordered
4.182,3.929,Disordered
4.284,3.929,Disordered
4.386,3.929,Disordered
4.488,3.929,Disordered
4.59,3.929,Disordered
4.692,3.929,Disordered
4.794,3.929,Disordered
4.896,3.929,Disordered
4.998,3.929,Disordered
5.1,3.929,Disordered
0.1,4.0,4D
0.202,4.0,4D
0.304,4.0,4D
0.406,4.0,4D
0.508,4.0,4D
0.61,4.0,4D
0.712,4.0,4D
0.814,4.0,4D
0.916,4.0,4D
1.018,4.0,4D
1.12,4.0,4D
1.222,4.0,4D
1.324,4.0,4D
1.427,4.0,4D
1.529,4.0,4D
1.631,4.0,4D
1.733,4.0,4D
1.835,4.0,4D
1.937,4.0,4D
2.039,4.0,4D
2.141,4.0,4D
2.243,4.0,4D
2.345,4.0,4D
2.447,4.0,4D
2.549,4.0,4D
2.651,4.0,4D
2.753,4.0,4D
2.855,4.0,4D
2.957,4.0,4D
3.059,4.0,4D
3.161,4.0,4D
3.263,4.0,4D
3.365,4.0,4D
3.467,4.0,4D
3.569,4.0,4D
3.671,4.0,4D
3.773,4.0,4D
3.876,4.0,4D
3.978,4.0,4D
4.08,4.0,4D
4.182,4.0,4D
4.284,4.0,4D
4.386,4.0,4D
4.488,4.0,4D
4.59,4.0,4D
4.692,4.0,4D
4.794,4.0,4D
4.896,4.0,4D
4.998,4.0,4D
5.1,4.0,4D
0.1,4.071,4D
0.202,4.071,4D
0.304,4.071,4D
0.406,4.071,4D
0.508,4.071,4D
0.61,4.071,4D
0.712,4.071,4D
0.814,4.071,4D
0.916,4.071,4D
1.018,4.071,4D
1.12,4.071,4D
1.222,4.071,4D
1.324,4.071,4D
1.427,4.071,4D
1.529,4.071,4D
1.631,4.071,4D
1.733,4.071,4D
1.835,4.071,4D
1.937,4.071,4D
2.039,4.071,4D
2.141,4.071,4D
2.243,4.071,4D
2.345,4.071,4D
2.447,4.071,4D
2.549,4.071,4D
2.651,4.071,4D
2.753,4.071,4D
2.855,4.071,4D
2.957,4.071,4D
3.059,4.071,4D
3.161,4.071,4D
3.263,4.071,4D
3.365,4.071,4D
3.467,4.071,4D
3.569,4.071,4D
3.671,4.071,4D
3.773,4.071,4D
3.876,4.071,4D
3.978,4.071,4D
4.08,4.071,4D
4.182,4.071,4D
4.284,4.071,4D
4.386,4.071,4D
4.488,4.071,4D
4.59,4.071,4D
4.692,4.071,4D
4.794,4.071,4D
4.896,4.071,4D
4.998,4.071,4D
5.1,4.071,4D
0.1,4.143,4D
0.202,4.143,4D
0.304,4.143,4D
0.406,4.143,4D
0.508,4.143,4D
0.61,4.143,4D
0.712,4.143,4D
0.814,4.143,4D
0.916,4.143,4D
1.018,4.143,4D
1.12,4.143,4D
1.222,4.143,4D
1.324,4.143,4D
1.427,4.143,4D
1.529,4.143,4D
1.631,4.143,4D
1.733,4.143,4D
1.835,4.143,4D
1.937,4.143,4D
2.039,4.143,4D
2.141,4.143,4D
2.243,4.143,4D
2.345,4.143,4D
2.447,4.143,4D
2.549,4.143,4D
2.651,4.143,4D
2.753,4.143,4D
2.855,4.143,4D
2.957,4.143,4D
3.059,4.143,4D
3.161,4.143,4D
3.263,4.143,4D
3.365,4.143,4D
3.467,4.143,4D
3.569,4.143,4D
3.671,4.143,4D
3.773,4.143,4D
3.876,4.143,4D
3.978,4.143,4D
4.08,4.143,4D
4.182,4.143,4D
4.284,4.143,4D
4.386,4.143,4D
4.488,4.143,4D
4.59,4.143,4D
4.692,4.143,4D
4.794,4.143,4D
4.896,4.143,4D
4.998,4.143,4D
5.1,4.143,4D
0.1,4.214,4D
0.202,4.214,4D
0.304,4.214,4D
0.406,4.214,4D
0.508,4.214,4D
0.61,4.214,4D
0.712,4.214,4D
0.814,4.214,4D
0.916,4.214,4D
1.018,4.214,4D
1.12,4.214,4D
1.222,4.214,4D
1.324,4.214,4D
1.427,4.214,4D
1.529,4.214,4D
1.631,4.214,4D
1.733,4.214,4D
1.835,4.214,4D
1.937,4.214,4D
2.039,4.214,4D
2.141,4.214,4D
2.243,4.214,4D
2.345,4.214,4D
2.447,4.214,4D
2.549,4.214,4D
2.651,4.214,4D
2.753,4.214,4D
2.855,4.214,4D
2.957,4.214,4D
3.059,4.214,4D
3.161,4.214,4D
3.263,4.214,4D
3.365,4.214,4D
3.467,4.214,4D
3.569,4.214,4D
3.671,4.214,4D
3.773,4.214,4D
3.876,4.214,4D
3.978,4.214,4D
4.08,4.214,4D
4.182,4.214,4D
4.284,4.214,4D
4.386,4.214,4D
4.488,4.214,4D
4.59,4.214,4D
4.692,4.214,4D
4.794,4.214,4D
4.896,4.214,4D
4.998,4.214,4D
5.1,4.214,4D
0.1,4.286,4D
0.202,4.286,4D
0.304,4.286,4D
0.406,4.286,4D
0.508,4.286,4D
0.61,4.286,4D
0.712,4.286,4D
0.814,4.286,4D
0.916,4.286,4D
1.018,4.286,4D
1.12,4.286,4D
1.222,4.286,4D
1.324,4.286,4D
1.427,4.286,4D
1.529,4.286,4D
1.631,4.286,4D
1.733,4.286,4D
1.835,4.286,4D
1.937,4.286,4D
2.039,4.286,4D
2.141,4.286,4D
2.243,4.286,4D
2.345,4.286,4D
2.447,4.286,4D
2.549,4.286,4D
2.651,4.286,4D
2.753,4.286,4D
2.855,4.286,4D
2.957,4.286,4D
3.059,4.286,4D
3.161,4.286,4D
3.263,4.286,4D
3.365,4.286,4D
3.467,4.286,4D
3.569,4.286,4D
3.671,4.286,4D
3.773,4.286,4D
3.876,4.286,4D
3.978,4.286,4D
4.08,4.286,4D
4.182,4.286,4D
4.284,4.286,4D
4.386,4.286,4D
4.488,4.286,4D
4.59,4.286,4D
4.692,4.286,4D
4.794,4.286,4D
4.896,4.286,4D
4.998,4.286,4D
5.1,4.286,4D
0.1,4.357,4D
0.202,4.357,4D
0.304,4.357,4D
0.406,4.357,4D
0.508,4.357,4D
0.61,4.357,4D
0.712,4.357,4D
0.814,4.357,4D
0.916,4.357,4D
1.018,4.357,4D
1.12,4.357,4D
1.222,4.357,4D
1.324,4.357,4D
1.427,4.357,4D
1.529,4.357,4D
1.631,4.357,4D
1.733,4.357,4D
1.835,4.357,4D
1.937,4.357,4D
2.039,4.357,4D
2.141,4.357,4D
2.243,4.357,4D
2.345,4.357,4D
2.447,4.357,4D
2.549,4.357,4D
2.651,4.357,4D
2.753,4.357,4D
2.855,4.357,4D
2.957,4.357,4D
3.059,4.357,4D
3.161,4.357,4D
3.263,4.357,4D
3.365,4.357,4D
3.467,4.357,4D
3.569,4.357,4D
3.671,4.357,4D
3.773,4.357,4D
3.876,4.357,4D
3.978,4.357,4D
4.08,4.357,4D
4.182,4.357,4D
4.284,4.357,4D
4.386,4.357,4D
4.488,4.357,4D
4.59,4.357,4D
4.692,4.357,4D
4.794,4.357,4D
4.896,4.357,4D
4.998,4.357,4D
5.1,4.357,4D
0.1,4.429,4D
0.202,4.429,4D
0.304,4.429,4D
0.406,4.429,4D
0.508,4.429,4D
0.61,4.429,4D
0.712,4.429,4D
0.814,4.429,4D
0.916,4.429,4D
1.018,4.429,4D
1.12,4.429,4D
1.222,4.429,4D
1.324,4.429,4D
1.427,4.429,4D
1.529,4.429,4D
1.631,4.429,4D
1.733,4.429,4D
1.835,4.429,4D
1.937,4.429,4D
2.039,4.429,4D
2.141,4.429,4D
2.243,4.429,4D
2.345,4.429,4D
2.447,4.429,4D
2.549,4.429,4D
2.651,4.429,4D
2.753,4.429,4D
2.855,4.429,4D
2.957,4.429,4D
3.059,4.429,4D
3.161,4.429,4D
3.263,4.429,4D
3.365,4.429,4D
3.467,4.429,4D
3.569,4.429,4D
3.671,4.429,4D
3.773,4.429,4D
3.876,4.429,4D
3.978,4.429,4D
4.08,4.429,4D
4.182,4.429,4D
4.284,4.429,4D
4.386,4.429,4D
4.488,4.429,4D
4.59,4.429,4D
4.692,4.429,4D
4.794,4.429,4D
4.896,4.429,4D
4.998,4.429,4D
5.1,4.429,4D
0.1,4.5,4D
0.202,4.5,4D
0.304,4.5,4D
0.406,4.5,4D
0.508,4.5,4D
0.61,4.5,4D
0.712,4.5,4D
0.814,4.5,4D
0.916,4.5,4D
1.018,4.5,4D
1.12,4.5,4D
1.222,4.5,4D
1.324,4.5,4D
1.427,4.5,4D
1.529,4.5,4D
1.631,4.5,4D
1.733,4.5,4D
1.835,4.5,4D
1.937,4.5,4D
2.039,4.5,4D
2.141,4.5,4D
2.243,4.5,4D
2.345,4.5,4D
2.447,4.5,4D
2.549,4.5,4D
2.651,4.5,4D
2.753,4.5,4D
2.855,4.5,4D
2.957,4.5,4D
3.059,4.5,4D
3.161,4.5,4D
3.263,4.5,4D
3.365,4.5,4D
3.467,4.5,4D
3.569,4.5,4D
3.671,4.5,4D
3.773,4.5,4D
3.876,4.5,4D
3.978,4.5,4D
4.08,4.5,4D
4.182,4.5,4D
4.284,4.5,4D
4.386,4.5,4D
4.488,4.5,4D
4.59,4.5,4D
4.692,4.5,4D
4.794,4.5,4D
4.896,4.5,4D
4.998,4.5,4D
5.1,4.5,4D
